"center_frequency_amplitude","center_frequency_amplitude_timestamp_before","center_frequency_amplitude_timestamp_after","peak_frequency","peak_amplitude","peak_timestamp_before","peak_timestamp_after"
"-63.67","2025-02-26T22:33:38.889625+00:00","2025-02-26T22:33:38.993839+00:00","8450000520.0","-63.5","2025-02-26T22:33:38.993839+00:00","2025-02-26T22:33:39.054849+00:00"
"-63.67","2025-02-26T22:33:39.054849+00:00","2025-02-26T22:33:39.141762+00:00","8450000520.0","-63.5","2025-02-26T22:33:39.141762+00:00","2025-02-26T22:33:39.204691+00:00"
"-63.67","2025-02-26T22:33:39.204691+00:00","2025-02-26T22:33:39.297934+00:00","8450000520.0","-63.5","2025-02-26T22:33:39.297934+00:00","2025-02-26T22:33:39.358425+00:00"
"-63.67","2025-02-26T22:33:39.358425+00:00","2025-02-26T22:33:39.446301+00:00","8450000520.0","-63.5","2025-02-26T22:33:39.446301+00:00","2025-02-26T22:33:39.517609+00:00"
"-63.67","2025-02-26T22:33:39.518125+00:00","2025-02-26T22:33:39.618338+00:00","8450000520.0","-63.5","2025-02-26T22:33:39.618338+00:00","2025-02-26T22:33:39.689051+00:00"
"-63.67","2025-02-26T22:33:39.689051+00:00","2025-02-26T22:33:39.787647+00:00","8450000520.0","-63.5","2025-02-26T22:33:39.787647+00:00","2025-02-26T22:33:39.842500+00:00"
"-63.67","2025-02-26T22:33:39.842500+00:00","2025-02-26T22:33:39.936087+00:00","8450000520.0","-63.5","2025-02-26T22:33:39.936087+00:00","2025-02-26T22:33:39.995691+00:00"
"-63.67","2025-02-26T22:33:39.995691+00:00","2025-02-26T22:33:40.082950+00:00","8450000520.0","-63.5","2025-02-26T22:33:40.082950+00:00","2025-02-26T22:33:40.144237+00:00"
"-63.67","2025-02-26T22:33:40.144237+00:00","2025-02-26T22:33:40.224851+00:00","8450000520.0","-63.5","2025-02-26T22:33:40.224851+00:00","2025-02-26T22:33:40.288031+00:00"
"-63.67","2025-02-26T22:33:40.288031+00:00","2025-02-26T22:33:40.371455+00:00","8450000520.0","-63.5","2025-02-26T22:33:40.371455+00:00","2025-02-26T22:33:40.438390+00:00"
"-63.67","2025-02-26T22:33:40.438390+00:00","2025-02-26T22:33:40.518926+00:00","8450000520.0","-63.5","2025-02-26T22:33:40.518926+00:00","2025-02-26T22:33:40.589375+00:00"
"-63.67","2025-02-26T22:33:40.589375+00:00","2025-02-26T22:33:40.680061+00:00","8450000520.0","-63.5","2025-02-26T22:33:40.680061+00:00","2025-02-26T22:33:40.743435+00:00"
"-63.67","2025-02-26T22:33:40.743435+00:00","2025-02-26T22:33:40.832170+00:00","8450000520.0","-63.5","2025-02-26T22:33:40.832170+00:00","2025-02-26T22:33:40.896134+00:00"
"-63.67","2025-02-26T22:33:40.896134+00:00","2025-02-26T22:33:40.982630+00:00","8450000520.0","-63.5","2025-02-26T22:33:40.982630+00:00","2025-02-26T22:33:41.035661+00:00"
"-63.67","2025-02-26T22:33:41.035661+00:00","2025-02-26T22:33:41.125181+00:00","8450000520.0","-63.5","2025-02-26T22:33:41.125181+00:00","2025-02-26T22:33:41.185640+00:00"
"-63.67","2025-02-26T22:33:41.185640+00:00","2025-02-26T22:33:41.276261+00:00","8450000520.0","-63.5","2025-02-26T22:33:41.276261+00:00","2025-02-26T22:33:41.336367+00:00"
"-63.67","2025-02-26T22:33:41.336367+00:00","2025-02-26T22:33:41.427440+00:00","8450000520.0","-63.5","2025-02-26T22:33:41.427440+00:00","2025-02-26T22:33:41.482012+00:00"
"-63.67","2025-02-26T22:33:41.482012+00:00","2025-02-26T22:33:41.582840+00:00","8450000520.0","-63.5","2025-02-26T22:33:41.582840+00:00","2025-02-26T22:33:41.644421+00:00"
"-63.67","2025-02-26T22:33:41.644421+00:00","2025-02-26T22:33:41.733581+00:00","8450000520.0","-63.5","2025-02-26T22:33:41.733581+00:00","2025-02-26T22:33:41.794451+00:00"
"-63.67","2025-02-26T22:33:41.794451+00:00","2025-02-26T22:33:41.887110+00:00","8450000520.0","-63.5","2025-02-26T22:33:41.887110+00:00","2025-02-26T22:33:41.945312+00:00"
"-63.67","2025-02-26T22:33:41.952842+00:00","2025-02-26T22:33:42.045246+00:00","8450000520.0","-63.5","2025-02-26T22:33:42.045246+00:00","2025-02-26T22:33:42.106492+00:00"
"-63.67","2025-02-26T22:33:42.106492+00:00","2025-02-26T22:33:42.193472+00:00","8450000520.0","-63.5","2025-02-26T22:33:42.193472+00:00","2025-02-26T22:33:42.253778+00:00"
"-63.67","2025-02-26T22:33:42.253778+00:00","2025-02-26T22:33:42.345534+00:00","8450000520.0","-63.5","2025-02-26T22:33:42.345534+00:00","2025-02-26T22:33:42.411662+00:00"
"-63.67","2025-02-26T22:33:42.411662+00:00","2025-02-26T22:33:42.492046+00:00","8450000520.0","-63.5","2025-02-26T22:33:42.492046+00:00","2025-02-26T22:33:42.551925+00:00"
"-63.67","2025-02-26T22:33:42.551925+00:00","2025-02-26T22:33:42.652774+00:00","8450000520.0","-63.5","2025-02-26T22:33:42.652774+00:00","2025-02-26T22:33:42.713355+00:00"
"-63.67","2025-02-26T22:33:42.713355+00:00","2025-02-26T22:33:42.803957+00:00","8450000520.0","-63.5","2025-02-26T22:33:42.803957+00:00","2025-02-26T22:33:42.874418+00:00"
"-63.67","2025-02-26T22:33:42.874418+00:00","2025-02-26T22:33:42.965958+00:00","8450000520.0","-63.5","2025-02-26T22:33:42.965958+00:00","2025-02-26T22:33:43.019237+00:00"
"-63.67","2025-02-26T22:33:43.019237+00:00","2025-02-26T22:33:43.112577+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.112577+00:00","2025-02-26T22:33:43.174085+00:00"
"-63.67","2025-02-26T22:33:43.174085+00:00","2025-02-26T22:33:43.259544+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.259544+00:00","2025-02-26T22:33:43.319613+00:00"
"-63.67","2025-02-26T22:33:43.319613+00:00","2025-02-26T22:33:43.416338+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.416338+00:00","2025-02-26T22:33:43.475741+00:00"
"-63.67","2025-02-26T22:33:43.476749+00:00","2025-02-26T22:33:43.569613+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.569613+00:00","2025-02-26T22:33:43.629779+00:00"
"-63.67","2025-02-26T22:33:43.629779+00:00","2025-02-26T22:33:43.720295+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.720295+00:00","2025-02-26T22:33:43.780763+00:00"
"-63.67","2025-02-26T22:33:43.780763+00:00","2025-02-26T22:33:43.871871+00:00","8450000520.0","-63.5","2025-02-26T22:33:43.871871+00:00","2025-02-26T22:33:43.938070+00:00"
"-63.67","2025-02-26T22:33:43.939237+00:00","2025-02-26T22:33:44.025840+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.025840+00:00","2025-02-26T22:33:44.079346+00:00"
"-63.67","2025-02-26T22:33:44.079346+00:00","2025-02-26T22:33:44.179367+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.179367+00:00","2025-02-26T22:33:44.240880+00:00"
"-63.67","2025-02-26T22:33:44.241404+00:00","2025-02-26T22:33:44.318036+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.318036+00:00","2025-02-26T22:33:44.378801+00:00"
"-63.67","2025-02-26T22:33:44.388813+00:00","2025-02-26T22:33:44.474485+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.474485+00:00","2025-02-26T22:33:44.536985+00:00"
"-63.67","2025-02-26T22:33:44.536985+00:00","2025-02-26T22:33:44.625140+00:00","8450000520.0","-63.5","2025-02-26T22:33:44.625140+00:00","2025-02-26T22:33:44.685510+00:00"
