DIRECTION,DISTANCE,TIME
PLUS_AZIMUTH,0.25,2.0160000000032596
MINUS_AZIMUTH,0.25,3.077999999994063
PLUS_ELEVATION,0.25,3.1089999999967404
MINUS_ELEVATION,0.25,3.0780000000086147
PLUS_BOTH,0.25,3.0780000000086147
MINUS_BOTH,0.25,3.0940000000118744
PLUS_AZIMUTH,0.5,3.077999999994063
MINUS_AZIMUTH,0.5,3.0780000000086147
PLUS_ELEVATION,0.5,3.077999999994063
MINUS_ELEVATION,0.5,3.077999999994063
PLUS_BOTH,0.5,3.0780000000086147
MINUS_BOTH,0.5,3.0929999999934807
PLUS_AZIMUTH,0.75,3.0939999999973224
MINUS_AZIMUTH,0.75,3.0780000000086147
PLUS_ELEVATION,0.75,4.14100000000326
MINUS_ELEVATION,0.75,4.14100000000326
PLUS_BOTH,0.75,4.1560000000026776
MINUS_BOTH,0.75,4.172000000005937
PLUS_AZIMUTH,1.0,4.156999999991967
MINUS_AZIMUTH,1.0,3.0939999999973224
PLUS_ELEVATION,1.0,4.125
MINUS_ELEVATION,1.0,4.1560000000026776
PLUS_BOTH,1.0,4.155999999988126
MINUS_BOTH,1.0,4.157000000006519
PLUS_AZIMUTH,1.25,3.0789999999979045
MINUS_AZIMUTH,1.25,3.0780000000086147
PLUS_ELEVATION,1.25,4.187000000005355
MINUS_ELEVATION,1.25,4.155999999988126
PLUS_BOTH,1.25,4.139999999999418
MINUS_BOTH,1.25,4.14100000000326
PLUS_AZIMUTH,1.5,4.157000000006519
MINUS_AZIMUTH,1.5,3.0780000000086147
PLUS_ELEVATION,1.5,5.202999999994063
MINUS_ELEVATION,1.5,5.2189999999973224
PLUS_BOTH,1.5,5.25
MINUS_BOTH,1.5,4.172000000005937
PLUS_AZIMUTH,1.75,3.110000000000582
MINUS_AZIMUTH,1.75,3.0930000000080327
PLUS_ELEVATION,1.75,5.1710000000020955
MINUS_ELEVATION,1.75,5.23399999999674
PLUS_BOTH,1.75,5.218000000008033
MINUS_BOTH,1.75,5.219000000011874
PLUS_AZIMUTH,2.0,4.14100000000326
MINUS_AZIMUTH,2.0,3.0780000000086147
PLUS_ELEVATION,2.0,5.202999999994063
MINUS_ELEVATION,2.0,5.2189999999973224
PLUS_BOTH,2.0,5.23399999999674
MINUS_BOTH,2.0,5.23399999999674
PLUS_AZIMUTH,2.25,3.0939999999973224
MINUS_AZIMUTH,2.25,3.0940000000118744
PLUS_ELEVATION,2.25,5.2189999999973224
MINUS_ELEVATION,2.25,5.2189999999973224
PLUS_BOTH,2.25,5.203000000008615
MINUS_BOTH,2.25,5.2189999999973224
